,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,geometry
164357,1610119300,105,중구-서구,0,,POINT (162714.634199999 549422.4423000006)
164358,1610119500,101,신흥동3가7-207,0,,POINT (167533.7891999927 539870.8861999994)
164359,1610119600,105,중구-동구,0,,POINT (167754.5209999969 541605.1267000011)
164360,1610119700,101,도원동5-5,0,,POINT (168308.8205999946 540864.5980999989)
191531,1610119901,101,-,0,,POINT (153667.2673731232 542485.0138723979)
191532,1610119801,101,-,0,,POINT (153341.7805520114 541976.0819698593)
191637,1610120101,102,-,0,,POINT (156244.9583826723 547847.8493802255)
192071,1610120901,102,-,0,,POINT (153345.132587112 543455.8218854259)
192072,1610120801,101,-,1,,POINT (153223.4737549501 543101.3056470203)
192116,1610120201,101,-,0,,POINT (162083.3801434431 545048.8430225201)
192117,1610120301,102,-,0,,POINT (162001.0214310027 545252.163961708)
192269,1610120001,101,-,0,,POINT (149003.1571543348 536584.6311613864)
192313,1610120701,104,-,0,,POINT (166654.7168210391 536808.8638056092)
192412,1610120601,101,-,0,,POINT (155636.5882460165 545699.268361085)
192413,1610120501,101,-,0,,POINT (155608.1847614808 545473.3840216714)
192414,1610120401,101,-,0,,POINT (155443.6524547375 545468.8834538566)
192938,1610122301,101,-,0,,POINT (149556.733324459 541234.079300928)
192939,1610122401,101,-,0,,POINT (149555.9349096243 541254.9257986207)
192940,1610122601,101,-,1,,POINT (149576.140802007 541417.5875560966)
192941,1610122701,101,-,1,,POINT (149789.6933171461 541550.7032121109)
192942,1610121201,101,-,0,,POINT (149562.2978878789 541650.576529256)
193099,1610121101,101,인천국제공항,1,,POINT (152315.5839774874 538779.7207716245)
193100,1610121001,101,-,0,,POINT (151287.7439263322 538707.7438378502)
193464,1610122901,102,-,0,,POINT (153094.1889751735 543287.9324493342)
193465,1610122801,101,-,1,,POINT (153362.3683926917 542894.5980030161)
193466,1610123001,101,-,1,,POINT (153628.762752233 543190.4878794287)
193467,1610123101,101,-,0,,POINT (153864.33187645 543157.2273923175)
193468,1610123401,101,-,1,,POINT (154142.9032924114 543440.4278502382)
193469,1610123201,101,-,1,,POINT (153881.9136579144 543256.9796459142)
193470,1610123301,101,-,0,,POINT (153851.8984712178 543299.1158384007)
193519,1610122501,101,-,1,,POINT (149519.9215083444 541339.0753437037)
193520,1610122201,101,-,1,,POINT (149589.4200027846 541143.5662089564)
193605,1610121701,101,-,1,,POINT (149559.5928667935 541571.2856001656)
193606,1610121401,101,-,1,,POINT (149566.7924275647 541487.0455865667)
193607,1610121601,103,-,0,,POINT (149553.9871668367 541543.7466165812)
193608,1610121501,101,-,1,,POINT (149553.0997279323 541522.484781353)
193609,1610122101,101,-,0,,POINT (150075.7275325193 541437.2302805928)
193610,1610121801,101,-,1,,POINT (149661.512416937 541639.9746216924)
193611,1610121901,101,-,0,,POINT (150052.7869453945 541295.0607971336)
193612,1610121301,101,-,1,,POINT (149621.0500498136 541100.4540143575)
193613,1610122001,101,-,1,,POINT (150058.055837863 541433.1351062069)
