,LINK_ID,Source,Target,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK,geometry
149805,1610163000,1610071900,1610060900,2,104,000,-,자연대로635번길,0,0,000,50,0,0,0,635.913787605152,,"LINESTRING (156219.2878999926 547286.1326999975, 156222.6145999945 547276.4083999963, 156224.6466999948 547268.0261999958, 156228.0906999934 547251.8655999962, 156231.9059999952 547236.6043999924, 156234.9504999955 547228.5779000041, 156240.6903999977 547213.8183999957, 156250.7911999978 547196.6195999997, 156257.3759999943 547186.4680999955, 156265.1050999987 547176.8066999934, 156275.148099997 547165.9493999967, 156285.3676999963 547156.0059999999, 156297.3537999996 547147.3648999948, 156308.5029999994 547140.9540999949, 156322.7366999994 547134.8140999934, 156337.7282999975 547130.9273000014, 156351.0537999937 547128.7064000007, 156364.3053999998 547128.1425000026, 156380.0093999956 547129.8250999928, 156393.8992000004 547133.4363999995, 156407.4806999927 547138.1483999916, 156421.2116999999 547145.153999995, 156433.0095999983 547153.5810999968, 156441.5528999938 547161.5731999915, 156455.1551999969 547174.916399997, 156469.3983999948 547185.0365999907, 156484.8961999949 547192.2184999944, 156503.4238999934 547198.6465000018, 156524.3269999987 547200.9689999915, 156539.5113999999 547200.3362999966, 156555.1627999996 547198.4581999988, 156566.5893000001 547194.4435000004, 156582.947899997 547187.4325999966, 156593.8289999961 547184.2736000005, 156606.7594999969 547181.827299999, 156621.4416999966 547181.1280999915, 156635.2168999988 547182.1878000004, 156649.2835999959 547185.7043999962, 156664.1248999982 547191.3582999933, 156680.7068999922 547202.2952999995, 156700.6365999958 547221.887200001, 156721.4728999964 547242.3837999963)"
149806,1610163100,1610060900,1610071900,2,104,000,-,자연대로635번길,0,0,000,50,0,0,0,611.819336133686,,"LINESTRING (156713.0575999981 547250.9384999988, 156692.2226999988 547230.4432999901, 156673.1261999984 547211.6703999913, 156658.6195999981 547202.1022999987, 156645.6796999957 547197.172800003, 156633.2878999937 547194.0747999999, 156621.2661999981 547193.150100003, 156608.1670999978 547193.7737999902, 156596.623599998 547195.957699994, 156586.9993999984 547198.7518999975, 156570.9465999978 547205.6316999943, 156557.8990999972 547210.2158999991, 156540.4774999996 547212.3064999933, 156523.9117999981 547212.9966999915, 156500.761699997 547210.4244999918, 156480.3955999975 547203.3586999963, 156463.3494999934 547195.4592999959, 156447.4301999948 547184.1482000011, 156433.2511999978 547170.2392999949, 156425.3901999976 547162.8855000037, 156414.9630999938 547155.4375999985, 156402.764899999 547149.2139999955, 156390.4171999986 547144.9300999957, 156377.8485999994 547141.6623000002, 156363.9191999949 547140.1698000038, 156352.2998999951 547140.6642999939, 156340.2253999933 547142.6766999997, 156326.6419999976 547146.1982999991, 156313.8879999963 547151.6999999963, 156303.8705999995 547157.4599999919, 156293.1023999968 547165.2231000006, 156283.7427999965 547174.3297999906, 156274.2065999954 547184.6391999974, 156267.1189999944 547193.4986999959, 156261.0037999976 547202.9263999966, 156251.5253999987 547219.0650999963, 156246.152699999 547232.8806000017, 156243.376399993 547240.1999999996, 156239.7833999993 547254.5721999953, 156236.3481999944 547270.6908999978, 156234.1469999999 547279.7711999905, 156230.5944999969 547290.1552999987)"
149807,1610163200,1610060800,1610072800,2,104,000,-,영종순환로,0,0,000,60,0,0,0,267.527748146034,,"LINESTRING (156605.9604999934 547753.5990000037, 156583.9937999997 547746.2136999959, 156548.7013999959 547731.2411000017, 156515.1769999927 547714.7450000013, 156484.7919999961 547699.2859999971, 156442.2655999948 547673.7701000017, 156397.7916999978 547646.7680999921, 156369.6308999949 547629.514699992)"
149808,1610163300,1610072800,1610060800,2,104,000,-,영종순환로,0,0,000,60,0,0,0,264.823385945742,,"LINESTRING (156375.8999999989 547619.2823999933, 156404.0400999932 547636.5231999928, 156448.4665 547663.4962999957, 156490.6067999966 547688.7805999968, 156520.5469999984 547704.0132999992, 156553.6976999941 547720.3254999928, 156588.2554999973 547734.9863999984, 156609.7845999977 547742.2246999983)"
149809,1610163400,1610060700,1610060900,3,104,000,-,자연대로,0,0,000,60,0,0,0,312.300578931451,,"LINESTRING (156494.0495999986 547465.2460999913, 156564.2230999983 547394.3854999979, 156618.9739999997 547337.2540999922, 156676.9858999994 547277.6527999991, 156713.0036999954 547242.4375000005)"
149810,1610163500,1610060900,1610060700,3,104,000,-,자연대로,0,0,000,60,0,0,0,312.164257450555,,"LINESTRING (156721.5267999997 547250.8847999917, 156685.5483999996 547286.0626999972, 156627.605699994 547345.5905999996, 156572.8188999969 547402.7593999908, 156502.6685999933 547473.5964999963)"
149811,1610163600,1610061000,1610060800,2,104,000,-,영종순환로,0,0,000,60,0,0,0,226.829593252628,,"LINESTRING (156824.6234999963 547811.7395999979, 156810.8889999976 547810.5949999979, 156775.9563999986 547805.758199995, 156742.1798999986 547796.6439000022, 156702.9023000011 547784.9667999992, 156645.6509999935 547766.943200002, 156605.9604999934 547753.5990000037)"
149812,1610163700,1610060800,1610061000,2,104,000,-,영종순환로,0,0,000,60,0,0,0,223.934001808359,,"LINESTRING (156609.7845999977 547742.2246999983, 156649.3650999962 547755.5318999944, 156706.4140999986 547773.4916999912, 156745.4533999925 547785.0980000021, 156778.3518999965 547793.9753999976, 156812.2111999993 547798.6635999978, 156825.6199999984 547799.7809999917)"
149813,1610163800,1610061100,1610061000,1,104,000,-,영종순환로,0,0,000,40,0,0,0,36.334440747315,,"LINESTRING (156830.579899996 547838.5108999986, 156818.1268999939 547804.3643999987)"
149814,1610163900,1610061000,1610061100,1,104,000,-,영종순환로,0,0,000,40,0,0,0,32.644933837471,,"LINESTRING (156830.7645 547803.7206999987, 156841.8653000007 547834.4316999994)"
