,Unnamed: 0,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,latitude,longitude
212,157798,1610006600,101,하이그린산업,0,,37.45099933872625,126.60355469941689
213,157799,1610006700,101,시몬수산,0,,37.45271658883947,126.60844876167322
214,157800,1610006900,101,인천항연안여객터미널,1,,37.453227651437615,126.59833660500583
215,157801,1610007000,101,신용보증기금인천지점,1,,37.45364450227528,126.62721513501207
216,157802,1610007100,101,어시장사거리,1,,37.45400061969695,126.60540126144194
217,157803,1610007200,101,천수공간공원삼거리,1,,37.45523715159481,126.60233801211287
218,157804,1610007300,101,항동7가27-184,1,,37.4552749321073,126.61003788611531
219,157805,1610007500,101,운서동2854-1,0,,37.455904620629866,126.49337757366888
220,157806,1610007600,101,인천활어도매종합센타사거리,1,,37.456541838876525,126.60702204261113
221,157807,1610007700,101,운서동2846-3,1,,37.45659652643155,126.4908918544435
222,157808,1610007800,101,연안사거리,1,,37.457252401176326,126.60534088695606
223,157809,1610007900,102,옹진수협냉동냉장창고,0,,37.45797221416227,126.59617816775305
224,157810,1610008000,101,인천항사거리,1,,37.458203182479764,126.63024091750668
225,157811,1610008100,104,인천항고가차도북측,0,,37.461133452769474,126.63184970326938
226,157812,1610008200,103,속성변화점,0,,37.46335149546875,126.63910976124599
227,157813,1610008300,101,수인사거리,1,,37.46494024550962,126.6339570743238
228,157814,1610008301,101,신흥동1가99,1,,37.46575428301708,126.63020997018144
229,157815,1610008302,101,신흥동1가99,0,,37.46567345064031,126.63067311580194
230,157816,1610008400,101,사동삼거리,1,,37.46800352638495,126.62515394905301
231,157817,1610008500,103,속성변화점,0,,37.46838230825541,126.60312288651743
232,157818,1610008600,101,도원사거리,1,,37.46867924520225,126.6418006678052
233,157819,1610008700,103,속성변화점,0,,37.469119839257246,126.60188694871086
234,157820,1610008800,103,속성변화점,0,,37.46915902630909,126.59978079330942
235,157821,1610008801,101,베니키아더블리스호텔,0,,37.472995712455045,126.59827762468963
236,157822,1610008900,101,신포역2번출구,1,,37.46932899573084,126.62305166811024
237,157823,1610008901,101,항동4가33,1,,37.47134648447517,126.61956566154636
238,157824,1610009000,101,유동삼거리,0,,37.47093811982063,126.63736119935975
239,157825,1610009200,103,속성변화점,0,,37.47251855833014,126.62909529229584
240,157826,1610009300,101,배다리사거리,1,,37.47271355797789,126.63515348060287
241,157827,1610009400,103,속성변화점,0,,37.472798995603114,126.63548826174708
242,157828,1610009500,104,우회고가교,0,,37.47291337003989,126.6167673244433
243,157829,1610009600,101,기념탑교회,1,,37.47369505741479,126.61587185464134
244,157830,1610009700,101,우회고가사거리,0,,37.47495633840589,126.61592910487268
245,157831,1610009800,101,동인천역앞교차로,0,,37.475205369548526,126.63120532440527
246,157832,1610009900,101,월미도교회,0,,37.475121839176346,126.59947298025399
247,157833,1610010000,101,인천국제공항제2여객터미널,0,,37.474462119590726,126.42843601135425
248,157834,1610010100,101,월미도해양관광뉴코스모스호,0,,37.47527465152193,126.59863479246465
249,157835,1610010101,101,북성동1가98-6,0,,37.477225191720144,126.59897842058375
250,157836,1610010200,101,운남동1640-1,0,,37.4750890582776,126.53298732348365
251,157837,1610010300,101,우회고가사거리,1,,37.47550033885152,126.61605191841959
252,157838,1610010400,101,티토크,0,,37.475993307117534,126.61952076114032
253,157839,1610010500,102,운서동2840,0,,37.47535127671997,126.45173257460822
254,157840,1610010600,101,대한제당인천제당공장,0,,37.476632213532426,126.60667782410253
255,157841,1610010700,101,비둘기어린이집,0,,37.476744713986484,126.62069963698674
256,157842,1610010800,101,생과일모찌카페,1,,37.47690530817194,126.63065498112046
257,157843,1610010900,101,대한제분본사,0,,37.476922713937384,126.62159104354649
258,157844,1610011000,101,W호텔,0,,37.477385776069426,126.59984485567293
259,157845,1610016200,101,연세스터디,0,,37.49699058917046,126.48508591772608
260,157846,1610011100,101,인천꽃동네회관,0,,37.47756293228371,126.61926585474303
261,157847,1610011200,103,속성변화점,0,,37.47750608949861,126.60043847981053
262,157848,1610011300,101,송월목양교회,0,,37.47787399547641,126.61935632422117
263,157849,1610011400,101,북성교회,0,,37.47802299497047,126.61832666762271
264,157850,1610011500,101,대한제분종합연구소,1,,37.478111745174516,126.61662301225724
265,157851,1610011600,101,송월목양교회,0,,37.47831465163535,126.61952451126925
266,157852,1610011700,101,월미도입구교차로,0,,37.47845287074974,126.61421913714491
267,157853,1610011800,103,속성변화점,0,,37.4779853389335,126.45643316721538
268,157854,1610011900,101,송월목양교회,1,,37.47872737059247,126.61880401110402
269,157855,1610012000,101,화평운교사거리,0,,37.47900071378328,126.62788494957971
270,157856,1610012100,101,장엄사,0,,37.479327808315794,126.61982710531406
271,157857,1610012200,101,전동감리교회,1,,37.47950346388699,126.62673282413277
272,157858,1610012300,101,운서동2858-2,0,,37.4788610269339,126.4579792302385
273,157859,1610012301,101,운서동2861-23,1,,37.48106522350594,126.46187109144053
274,157860,1610012400,101,인천자율방범대,0,,37.47957765187721,126.62153644836937
275,157861,1610012500,101,수협은행송월동지점,0,,37.48010940185222,126.62078360537625
276,157862,1610012600,101,만석고가교,0,,37.48043833861975,126.62054591781101
277,157863,1610012700,102,항공기상청,0,,37.48019974518607,126.44750557377752
278,157864,1610012701,101,운서동2840-14,0,,37.48088104670622,126.44872832278116
279,157865,1610012800,103,속성변화점,0,,37.48206971392166,126.56764769865548
280,157866,1610012900,102,운서동2840,0,,37.48225493314682,126.44583832418661
281,157867,1610013000,101,운서동2861-17,1,,37.482688776944094,126.46473801162149
282,157868,1610013100,101,운서동2840-12,0,,37.483659994945285,126.45371613537006
283,157869,1610013200,101,운서동2840-12,0,,37.48412802656591,126.44907769922503
284,157870,1610013201,101,운서동2833-6,0,,37.493747048673335,126.44048662543207
285,157871,1610013202,101,운서동2833-6,0,,37.4919633927485,126.44208975954938
286,157872,1610013203,101,운서동2833-6,0,,37.491083830460454,126.44285595060097
287,157873,1610013204,101,운서동2833-6,0,,37.488280395148855,126.44536426261156
288,157874,1610013300,102,영종해안남로1,0,,37.48616580792994,126.5728456672014
289,157875,1610013400,101,GS주유소국제공항터미널,1,,37.487438245068454,126.46048694854869
